gene_id,gene_name,gene_type,gene_name_type
ENSMUSG00000089779.1,Gm15641,lncRNA,Gm*
ENSMUSG00000087570.1,Gm13647,lncRNA,Gm*
ENSMUSG00000085251.1,Gm12326,lncRNA,Gm*
ENSMUSG00000086641.1,Gm13663,lncRNA,Gm*
ENSMUSG00000084794.1,Gm13662,lncRNA,Gm*
ENSMUSG00000110462.1,Gm35572,lncRNA,Gm*
ENSMUSG00000066141.2,Gm11232,protein_coding,Gm*
ENSMUSG00000090237.1,Gm16308,lncRNA,Gm*
ENSMUSG00000099707.6,Gm8883,lncRNA,Gm*
ENSMUSG00000101211.1,Gm28818,lncRNA,Gm*
ENSMUSG00000073130.10,Gm1141,protein_coding,Gm*
ENSMUSG00000108480.1,Gm36633,lncRNA,Gm*
ENSMUSG00000087345.1,Gm13746,lncRNA,Gm*
ENSMUSG00000097133.1,Gm26628,lncRNA,Gm*
ENSMUSG00000086696.1,Gm11234,lncRNA,Gm*
ENSMUSG00000112414.1,Gm34609,lncRNA,Gm*
ENSMUSG00000102123.1,Gm4319,lncRNA,Gm*
ENSMUSG00000108427.1,Gm36696,lncRNA,Gm*
ENSMUSG00000097472.1,Gm26586,lncRNA,Gm*
ENSMUSG00000087502.1,Gm16091,lncRNA,Gm*
ENSMUSG00000107877.2,Gm43951,protein_coding,Gm*
ENSMUSG00000108493.1,Gm45715,lncRNA,Gm*
ENSMUSG00000116068.1,Gm49457,lncRNA,Gm*
ENSMUSG00000108371.1,Gm38832,lncRNA,Gm*
ENSMUSG00000086027.1,Gm11250,lncRNA,Gm*
ENSMUSG00000099020.1,Gm27159,lncRNA,Gm*
ENSMUSG00000099190.1,Gm27188,lncRNA,Gm*
ENSMUSG00000079016.1,Gm11034,protein_coding,Gm*
ENSMUSG00000096902.7,Gm20843,protein_coding,Gm*
ENSMUSG00000098340.1,Gm27253,lncRNA,Gm*
ENSMUSG00000100694.1,Gm29182,lncRNA,Gm*
ENSMUSG00000070713.5,Gm10282,protein_coding,Gm*
ENSMUSG00000093400.1,Gm20647,lncRNA,Gm*
ENSMUSG00000108435.1,Gm45051,lncRNA,Gm*
ENSMUSG00000098959.1,Gm27230,lncRNA,Gm*
ENSMUSG00000098801.1,Gm27255,lncRNA,Gm*
ENSMUSG00000109446.1,Gm9195,protein_coding,Gm*
ENSMUSG00000098778.1,Gm27231,lncRNA,Gm*
ENSMUSG00000097000.2,Gm17435,lncRNA,Gm*
ENSMUSG00000109482.2,Gm4756,protein_coding,Gm*
ENSMUSG00000116088.1,Gm49460,lncRNA,Gm*
ENSMUSG00000090216.1,Gm16549,lncRNA,Gm*
ENSMUSG00000092386.1,Gm20536,lncRNA,Gm*
ENSMUSG00000099051.1,Gm27241,lncRNA,Gm*
ENSMUSG00000098573.1,Gm27232,lncRNA,Gm*
ENSMUSG00000093587.3,Gm20554,lncRNA,Gm*
ENSMUSG00000072999.9,Gm15401,lncRNA,Gm*
ENSMUSG00000100138.1,Gm28745,lncRNA,Gm*
ENSMUSG00000110712.1,Gm39662,lncRNA,Gm*
ENSMUSG00000100670.1,Gm28744,lncRNA,Gm*
ENSMUSG00000117984.1,Gm31819,lncRNA,Gm*
ENSMUSG00000079524.2,Gm15402,lncRNA,Gm*
ENSMUSG00000115494.1,Gm49293,lncRNA,Gm*
ENSMUSG00000113837.1,Gm47902,lncRNA,Gm*
ENSMUSG00000098294.1,Gm27204,lncRNA,Gm*
ENSMUSG00000115532.1,Gm41206,lncRNA,Gm*
ENSMUSG00000113779.1,Gm33785,lncRNA,Gm*
ENSMUSG00000118316.1,Gm31908,lncRNA,Gm*
ENSMUSG00000112168.1,Gm34776,lncRNA,Gm*
ENSMUSG00000097010.2,Gm26709,lncRNA,Gm*
ENSMUSG00000097569.2,Gm26640,lncRNA,Gm*
ENSMUSG00000089865.2,Gm44503,protein_coding,Gm*
ENSMUSG00000063656.6,Gm10135,protein_coding,Gm*
ENSMUSG00000079286.1,Gm11084,protein_coding,Gm*
ENSMUSG00000084944.1,Gm14684,lncRNA,Gm*
ENSMUSG00000107546.1,Gm20560,lncRNA,Gm*
ENSMUSG00000117096.1,Gm30420,lncRNA,Gm*
ENSMUSG00000103428.1,Gm20754,lncRNA,Gm*
ENSMUSG00000108329.1,Gm44725,lncRNA,Gm*
ENSMUSG00000092255.1,Gm20455,lncRNA,Gm*
ENSMUSG00000108383.1,Gm6567,lncRNA,Gm*
ENSMUSG00000092310.2,Gm20509,protein_coding,Gm*
ENSMUSG00000067771.9,Gm14685,protein_coding,Gm*
ENSMUSG00000090706.1,Gm17233,lncRNA,Gm*
ENSMUSG00000101843.1,Gm28746,lncRNA,Gm*
ENSMUSG00000108778.1,Gm20083,lncRNA,Gm*
ENSMUSG00000098875.1,Gm27211,lncRNA,Gm*
ENSMUSG00000085456.2,Gm15398,lncRNA,Gm*
ENSMUSG00000108513.1,Gm30075,lncRNA,Gm*
ENSMUSG00000090561.2,Gm17207,lncRNA,Gm*
ENSMUSG00000107087.1,Gm34411,lncRNA,Gm*
ENSMUSG00000101112.1,Gm29185,lncRNA,Gm*
ENSMUSG00000102820.1,Gm38353,lncRNA,Gm*
ENSMUSG00000069825.12,Gm49340,protein_coding,Gm*
ENSMUSG00000109368.1,Gm45015,protein_coding,Gm*
ENSMUSG00000113425.1,Gm48653,lncRNA,Gm*
ENSMUSG00000085519.1,Gm13703,lncRNA,Gm*
ENSMUSG00000086546.1,Gm13709,lncRNA,Gm*
ENSMUSG00000096966.2,Gm18336,protein_coding,Gm*
ENSMUSG00000066137.12,Gm11487,protein_coding,Gm*
ENSMUSG00000097110.1,Gm26726,lncRNA,Gm*
ENSMUSG00000085768.1,Gm13707,lncRNA,Gm*
ENSMUSG00000115810.1,Gm49066,lncRNA,Gm*
ENSMUSG00000101425.1,Gm29255,lncRNA,Gm*
ENSMUSG00000113582.1,Gm33929,lncRNA,Gm*
ENSMUSG00000114178.1,Gm48656,lncRNA,Gm*
ENSMUSG00000086069.1,Gm13708,lncRNA,Gm*
ENSMUSG00000113099.1,Gm34016,lncRNA,Gm*
ENSMUSG00000085176.1,Gm15397,lncRNA,Gm*
ENSMUSG00000117023.1,Gm49876,lncRNA,Gm*
ENSMUSG00000100429.1,Gm29186,lncRNA,Gm*
ENSMUSG00000108563.1,Gm44686,lncRNA,Gm*
ENSMUSG00000107441.1,Gm31747,lncRNA,Gm*
ENSMUSG00000095935.1,Gm11238,protein_coding,Gm*
ENSMUSG00000108724.1,Gm44734,lncRNA,Gm*
ENSMUSG00000117118.1,Gm49878,lncRNA,Gm*
ENSMUSG00000094116.1,Gm11237,protein_coding,Gm*
ENSMUSG00000108497.1,Gm44738,lncRNA,Gm*
ENSMUSG00000108311.1,Gm44737,lncRNA,Gm*
ENSMUSG00000096700.1,Gm11236,protein_coding,Gm*
ENSMUSG00000096463.1,Gm21750,protein_coding,Gm*
ENSMUSG00000095048.7,Gm11239,protein_coding,Gm*
ENSMUSG00000099782.1,Gm20903,protein_coding,Gm*
ENSMUSG00000108550.1,Gm44736,lncRNA,Gm*
ENSMUSG00000108473.1,Gm44739,lncRNA,Gm*
ENSMUSG00000095341.1,Gm428,protein_coding,Gm*
ENSMUSG00000117985.1,Gm32548,lncRNA,Gm*
ENSMUSG00000115088.1,Gm49165,lncRNA,Gm*
ENSMUSG00000115289.1,Gm49164,lncRNA,Gm*
ENSMUSG00000101344.1,Gm29183,lncRNA,Gm*
ENSMUSG00000074067.9,Gm10619,lncRNA,Gm*
ENSMUSG00000085034.1,Gm11240,lncRNA,Gm*
ENSMUSG00000113321.1,Gm8075,lncRNA,Gm*
ENSMUSG00000085669.1,Gm14817,lncRNA,Gm*
ENSMUSG00000108448.2,Gm21269,lncRNA,Gm*
ENSMUSG00000113699.1,Gm48823,lncRNA,Gm*
ENSMUSG00000099554.1,Gm28259,lncRNA,Gm*
ENSMUSG00000086361.1,Gm6569,protein_coding,Gm*
ENSMUSG00000087700.2,Gm15283,lncRNA,Gm*
ENSMUSG00000096530.7,Gm11758,protein_coding,Gm*
ENSMUSG00000096750.7,Gm11757,protein_coding,Gm*
ENSMUSG00000096333.7,Gm13871,protein_coding,Gm*
ENSMUSG00000093962.7,Gm11756,protein_coding,Gm*
ENSMUSG00000102384.1,Gm38143,lncRNA,Gm*
ENSMUSG00000113274.1,Gm41002,lncRNA,Gm*
ENSMUSG00000115704.1,Gm49171,lncRNA,Gm*
ENSMUSG00000116256.1,Gm32405,lncRNA,Gm*
ENSMUSG00000085881.2,Gm15912,lncRNA,Gm*
ENSMUSG00000104096.1,Gm20356,lncRNA,Gm*
ENSMUSG00000117038.1,Gm49880,lncRNA,Gm*
ENSMUSG00000108725.1,Gm45004,lncRNA,Gm*
ENSMUSG00000117226.1,Gm31084,lncRNA,Gm*
ENSMUSG00000053861.1,Gm9925,protein_coding,Gm*
ENSMUSG00000110703.1,Gm45821,lncRNA,Gm*
ENSMUSG00000101774.6,Gm29616,lncRNA,Gm*
ENSMUSG00000099502.1,Gm28640,lncRNA,Gm*
ENSMUSG00000084791.1,Gm13667,lncRNA,Gm*
ENSMUSG00000100192.1,Gm29587,lncRNA,Gm*
ENSMUSG00000101503.1,Gm28364,lncRNA,Gm*
ENSMUSG00000099931.1,Gm29358,lncRNA,Gm*
ENSMUSG00000113031.1,Gm34552,lncRNA,Gm*
ENSMUSG00000079061.3,Gm11042,protein_coding,Gm*
ENSMUSG00000085161.1,Gm7580,lncRNA,Gm*
ENSMUSG00000113311.1,Gm47428,lncRNA,Gm*
ENSMUSG00000100805.1,Gm29108,lncRNA,Gm*
ENSMUSG00000101528.1,Gm29110,protein_coding,Gm*
ENSMUSG00000116765.1,Gm49762,lncRNA,Gm*
ENSMUSG00000116646.1,Gm49763,lncRNA,Gm*
ENSMUSG00000113019.1,Gm47467,lncRNA,Gm*
ENSMUSG00000117358.1,Gm31645,lncRNA,Gm*
ENSMUSG00000115449.1,Gm49175,lncRNA,Gm*
ENSMUSG00000113047.1,Gm47469,lncRNA,Gm*
ENSMUSG00000101526.1,Gm28622,lncRNA,Gm*
ENSMUSG00000097546.1,Gm26749,lncRNA,Gm*
ENSMUSG00000113204.1,Gm46430,lncRNA,Gm*
ENSMUSG00000079011.9,Gm11033,lncRNA,Gm*
ENSMUSG00000094507.1,Gm21913,protein_coding,Gm*
ENSMUSG00000100115.1,Gm28174,lncRNA,Gm*
ENSMUSG00000079534.1,Gm5640,protein_coding,Gm*
ENSMUSG00000099521.1,Gm28309,lncRNA,Gm*
ENSMUSG00000086077.7,Gm14396,lncRNA,Gm*
ENSMUSG00000100209.1,Gm28793,lncRNA,Gm*
ENSMUSG00000085657.7,Gm15984,lncRNA,Gm*
ENSMUSG00000100642.1,Gm28230,protein_coding,Gm*
ENSMUSG00000085497.2,Gm15985,lncRNA,Gm*
ENSMUSG00000106987.1,Gm42575,lncRNA,Gm*
ENSMUSG00000085015.1,Gm14424,lncRNA,Gm*
ENSMUSG00000086559.1,Gm14426,lncRNA,Gm*
ENSMUSG00000108468.1,Gm30459,lncRNA,Gm*
ENSMUSG00000117444.1,Gm50020,lncRNA,Gm*
ENSMUSG00000099472.1,Gm29539,lncRNA,Gm*
ENSMUSG00000091709.1,Gm17189,lncRNA,Gm*
ENSMUSG00000101218.1,Gm29416,lncRNA,Gm*
ENSMUSG00000113845.1,Gm39473,lncRNA,Gm*
ENSMUSG00000079531.1,Gm5936,protein_coding,Gm*
ENSMUSG00000066477.13,Gm16551,lncRNA,Gm*
ENSMUSG00000093662.2,Gm20649,lncRNA,Gm*
ENSMUSG00000089964.1,Gm16582,lncRNA,Gm*
ENSMUSG00000101596.1,Gm28182,lncRNA,Gm*
ENSMUSG00000117441.1,Gm50021,lncRNA,Gm*
ENSMUSG00000089653.1,Gm15841,lncRNA,Gm*
ENSMUSG00000115002.1,Gm10847,lncRNA,Gm*
ENSMUSG00000116380.1,Gm39556,lncRNA,Gm*
ENSMUSG00000117560.1,Gm31759,lncRNA,Gm*
ENSMUSG00000072874.4,Gm6116,lncRNA,Gm*
ENSMUSG00000117342.1,Gm31818,lncRNA,Gm*
ENSMUSG00000115019.1,Gm4278,lncRNA,Gm*
ENSMUSG00000101295.1,Gm28180,lncRNA,Gm*
ENSMUSG00000100287.1,Gm28068,lncRNA,Gm*
ENSMUSG00000110593.1,Gm45822,lncRNA,Gm*
ENSMUSG00000085765.1,Gm12333,lncRNA,Gm*
ENSMUSG00000110433.1,Gm45820,lncRNA,Gm*
ENSMUSG00000099452.1,Gm28502,lncRNA,Gm*
ENSMUSG00000107192.1,Gm19583,lncRNA,Gm*
ENSMUSG00000087333.1,Gm13652,lncRNA,Gm*
ENSMUSG00000100140.1,Gm28789,lncRNA,Gm*
ENSMUSG00000089733.1,Gm15628,lncRNA,Gm*
ENSMUSG00000106760.1,Gm42802,lncRNA,Gm*
ENSMUSG00000099519.1,Gm29253,lncRNA,Gm*
ENSMUSG00000110693.1,Gm45899,lncRNA,Gm*
ENSMUSG00000101146.1,Gm20814,protein_coding,Gm*
ENSMUSG00000090054.1,Gm15629,lncRNA,Gm*
ENSMUSG00000110640.1,Gm45903,lncRNA,Gm*
ENSMUSG00000101840.1,Gm28294,lncRNA,Gm*
ENSMUSG00000100556.1,Gm28902,lncRNA,Gm*
ENSMUSG00000111348.1,Gm19531,lncRNA,Gm*
ENSMUSG00000110824.1,Gm48677,lncRNA,Gm*
ENSMUSG00000099896.1,Gm29278,lncRNA,Gm*
ENSMUSG00000115615.1,Gm49200,lncRNA,Gm*
ENSMUSG00000092569.1,Gm20544,lncRNA,Gm*
ENSMUSG00000085653.7,Gm15179,lncRNA,Gm*
ENSMUSG00000107386.1,Gm42800,lncRNA,Gm*
ENSMUSG00000116610.1,Gm49678,lncRNA,Gm*
ENSMUSG00000086053.1,Gm15178,lncRNA,Gm*
ENSMUSG00000110469.1,Gm10358,protein_coding,Gm*
ENSMUSG00000085359.1,Gm12336,lncRNA,Gm*
ENSMUSG00000087504.1,Gm13658,lncRNA,Gm*
ENSMUSG00000086576.1,Gm13660,lncRNA,Gm*
ENSMUSG00000097712.1,Gm10532,lncRNA,Gm*
ENSMUSG00000109715.1,Gm45606,lncRNA,Gm*
ENSMUSG00000086573.1,Gm15384,lncRNA,Gm*
ENSMUSG00000086937.1,Gm15063,lncRNA,Gm*
ENSMUSG00000112459.1,Gm47689,lncRNA,Gm*
ENSMUSG00000115969.1,Gm46519,lncRNA,Gm*
ENSMUSG00000100544.1,Gm28606,lncRNA,Gm*
ENSMUSG00000085523.1,Gm15945,lncRNA,Gm*
ENSMUSG00000100902.1,Gm20850,protein_coding,Gm*
ENSMUSG00000113041.1,Gm48302,lncRNA,Gm*
ENSMUSG00000106754.1,Gm43101,lncRNA,Gm*
ENSMUSG00000087527.1,Gm13656,lncRNA,Gm*
ENSMUSG00000100962.3,Gm29133,protein_coding,Gm*
ENSMUSG00000106726.1,Gm43100,lncRNA,Gm*
ENSMUSG00000092360.1,Gm20441,protein_coding,Gm*
ENSMUSG00000086813.1,Gm13657,lncRNA,Gm*
ENSMUSG00000087059.7,Gm12339,lncRNA,Gm*
ENSMUSG00000107061.1,Gm19590,lncRNA,Gm*
ENSMUSG00000085829.1,Gm4285,lncRNA,Gm*
ENSMUSG00000100936.1,Gm28865,lncRNA,Gm*
ENSMUSG00000087322.1,Gm16075,lncRNA,Gm*
ENSMUSG00000117539.1,Gm4710,lncRNA,Gm*
ENSMUSG00000097836.1,Gm26903,lncRNA,Gm*
ENSMUSG00000085598.1,Gm14715,lncRNA,Gm*
ENSMUSG00000050157.6,Gm867,protein_coding,Gm*
ENSMUSG00000033255.8,Gm5134,protein_coding,Gm*
ENSMUSG00000104448.1,Gm37256,lncRNA,Gm*
ENSMUSG00000107880.1,Gm44113,lncRNA,Gm*
ENSMUSG00000110485.1,Gm45740,lncRNA,Gm*
ENSMUSG00000085662.1,Gm16220,lncRNA,Gm*
ENSMUSG00000087214.2,Gm15555,lncRNA,Gm*
ENSMUSG00000110603.1,Gm45741,lncRNA,Gm*
ENSMUSG00000099996.1,Gm29065,lncRNA,Gm*
ENSMUSG00000106756.1,Gm32780,lncRNA,Gm*
ENSMUSG00000086798.1,Gm16222,lncRNA,Gm*
ENSMUSG00000115332.1,Gm48952,lncRNA,Gm*
ENSMUSG00000116288.1,Gm41349,lncRNA,Gm*
ENSMUSG00000086104.1,Gm14707,lncRNA,Gm*
ENSMUSG00000086207.1,Gm14717,lncRNA,Gm*
ENSMUSG00000112274.1,Gm47525,lncRNA,Gm*
ENSMUSG00000114242.1,Gm31219,lncRNA,Gm*
ENSMUSG00000112784.1,Gm34868,lncRNA,Gm*
ENSMUSG00000110655.1,Gm45798,lncRNA,Gm*
ENSMUSG00000089711.1,Gm16240,lncRNA,Gm*
ENSMUSG00000098449.1,Gm7467,lncRNA,Gm*
ENSMUSG00000098894.1,Gm27234,lncRNA,Gm*
ENSMUSG00000117598.1,Gm50028,lncRNA,Gm*
ENSMUSG00000109179.2,Gm35339,protein_coding,Gm*
ENSMUSG00000094404.1,Gm21776,protein_coding,Gm*
ENSMUSG00000116968.1,Gm49587,lncRNA,Gm*
ENSMUSG00000100827.1,Gm29069,lncRNA,Gm*
ENSMUSG00000109338.2,Gm45030,lncRNA,Gm*
ENSMUSG00000073000.3,Gm10451,lncRNA,Gm*
ENSMUSG00000110373.1,Gm42303,lncRNA,Gm*
ENSMUSG00000091204.8,Gm7271,protein_coding,Gm*
ENSMUSG00000100553.6,Gm17751,lncRNA,Gm*
ENSMUSG00000072476.6,Gm9008,protein_coding,Gm*
ENSMUSG00000107651.1,Gm44166,lncRNA,Gm*
ENSMUSG00000116701.1,Gm30726,lncRNA,Gm*
ENSMUSG00000085468.1,Gm15343,lncRNA,Gm*
ENSMUSG00000074235.4,Gm10649,lncRNA,Gm*
ENSMUSG00000117960.1,Gm31933,lncRNA,Gm*
ENSMUSG00000108903.1,Gm45029,lncRNA,Gm*
ENSMUSG00000112721.1,Gm35608,lncRNA,Gm*
ENSMUSG00000086354.2,Gm13938,lncRNA,Gm*
ENSMUSG00000112291.1,Gm48276,lncRNA,Gm*
ENSMUSG00000109333.1,Gm30790,lncRNA,Gm*
ENSMUSG00000111222.1,Gm34158,lncRNA,Gm*
ENSMUSG00000100708.1,Gm21173,protein_coding,Gm*
ENSMUSG00000115817.1,Gm30246,lncRNA,Gm*
ENSMUSG00000110839.1,Gm47800,lncRNA,Gm*
ENSMUSG00000115353.1,Gm48968,lncRNA,Gm*
ENSMUSG00000115596.1,Gm48969,lncRNA,Gm*
ENSMUSG00000116024.1,Gm49527,protein_coding,Gm*
ENSMUSG00000100534.1,Gm816,lncRNA,Gm*
ENSMUSG00000099526.1,Gm29313,lncRNA,Gm*
ENSMUSG00000117732.1,Gm50364,protein_coding,Gm*
ENSMUSG00000112143.1,Gm35721,lncRNA,Gm*
ENSMUSG00000112857.1,Gm35041,lncRNA,Gm*
ENSMUSG00000116339.1,Gm35933,lncRNA,Gm*
ENSMUSG00000087398.1,Gm12343,lncRNA,Gm*
ENSMUSG00000112773.1,Gm3137,lncRNA,Gm*
ENSMUSG00000074919.2,Gm10787,lncRNA,Gm*
ENSMUSG00000116272.1,Gm49540,lncRNA,Gm*
ENSMUSG00000112030.1,Gm35189,lncRNA,Gm*
ENSMUSG00000098370.1,Gm19541,lncRNA,Gm*
ENSMUSG00000085858.1,Gm15831,lncRNA,Gm*
ENSMUSG00000073532.3,Gm7276,lncRNA,Gm*
ENSMUSG00000109010.1,Gm45027,lncRNA,Gm*
ENSMUSG00000101960.1,Gm29311,lncRNA,Gm*
ENSMUSG00000078444.3,Gm10941,lncRNA,Gm*
ENSMUSG00000118108.1,Gm50284,lncRNA,Gm*
ENSMUSG00000110258.1,Gm45406,lncRNA,Gm*
ENSMUSG00000085277.1,Gm13943,lncRNA,Gm*
ENSMUSG00000109732.1,Gm45285,lncRNA,Gm*
ENSMUSG00000106828.1,Gm34648,lncRNA,Gm*
ENSMUSG00000093458.1,Gm20688,lncRNA,Gm*
ENSMUSG00000106906.1,Gm34728,lncRNA,Gm*
ENSMUSG00000115244.1,Gm49002,lncRNA,Gm*
ENSMUSG00000100526.1,Gm29309,lncRNA,Gm*
ENSMUSG00000112818.1,Gm35920,lncRNA,Gm*
ENSMUSG00000085845.7,Gm13944,lncRNA,Gm*
ENSMUSG00000101785.1,Gm28702,lncRNA,Gm*
ENSMUSG00000100149.1,Gm28701,lncRNA,Gm*
ENSMUSG00000067973.11,Gm6994,lncRNA,Gm*
ENSMUSG00000106985.1,Gm42761,lncRNA,Gm*
ENSMUSG00000101849.1,Gm28386,lncRNA,Gm*
ENSMUSG00000072673.2,Gm10392,lncRNA,Gm*
ENSMUSG00000099094.1,Gm19569,lncRNA,Gm*
ENSMUSG00000112392.1,Gm35240,lncRNA,Gm*
ENSMUSG00000115363.1,Gm49003,lncRNA,Gm*
ENSMUSG00000079546.1,Gm11146,protein_coding,Gm*
ENSMUSG00000116079.1,Gm36245,protein_coding,Gm*
ENSMUSG00000100823.1,Gm28704,lncRNA,Gm*
ENSMUSG00000112241.1,Gm49325,protein_coding,Gm*
ENSMUSG00000099416.1,Gm28540,lncRNA,Gm*
ENSMUSG00000095970.1,Gm19402,protein_coding,Gm*
ENSMUSG00000111225.1,Gm47790,lncRNA,Gm*
ENSMUSG00000094647.7,Gm21650,protein_coding,Gm*
ENSMUSG00000112170.1,Gm9508,protein_coding,Gm*
ENSMUSG00000110838.1,Gm47789,lncRNA,Gm*
ENSMUSG00000069584.4,Gm10272,protein_coding,Gm*
ENSMUSG00000094012.1,Gm10024,protein_coding,Gm*
ENSMUSG00000094146.1,Gm10142,protein_coding,Gm*
ENSMUSG00000116162.1,Gm36329,lncRNA,Gm*
ENSMUSG00000096421.1,Gm10100,protein_coding,Gm*
ENSMUSG00000111014.1,Gm47795,lncRNA,Gm*
ENSMUSG00000112864.1,Gm18596,protein_coding,Gm*
ENSMUSG00000112380.1,Gm9736,protein_coding,Gm*
ENSMUSG00000099646.1,Gm28541,lncRNA,Gm*
ENSMUSG00000094120.1,Gm3233,protein_coding,Gm*
ENSMUSG00000095817.1,Gm3238,protein_coding,Gm*
ENSMUSG00000095593.1,Gm7138,protein_coding,Gm*
ENSMUSG00000115257.1,Gm30467,lncRNA,Gm*
ENSMUSG00000096481.1,Gm3250,protein_coding,Gm*
ENSMUSG00000069804.2,Gm10277,protein_coding,Gm*
ENSMUSG00000095721.1,Gm7137,protein_coding,Gm*
ENSMUSG00000075512.5,Gm1587,lncRNA,Gm*
ENSMUSG00000096131.3,Gm9639,protein_coding,Gm*
ENSMUSG00000096380.1,Gm19668,protein_coding,Gm*
ENSMUSG00000085973.1,Gm14742,lncRNA,Gm*
ENSMUSG00000111253.1,Gm34654,lncRNA,Gm*
ENSMUSG00000094913.3,Gm9507,protein_coding,Gm*
ENSMUSG00000112600.1,Gm49918,protein_coding,Gm*
ENSMUSG00000100063.1,Gm28538,lncRNA,Gm*
ENSMUSG00000111250.1,Gm47818,lncRNA,Gm*
ENSMUSG00000087102.1,Gm13661,lncRNA,Gm*
ENSMUSG00000091193.2,Gm17333,lncRNA,Gm*
ENSMUSG00000112653.1,Gm36176,protein_coding,Gm*
ENSMUSG00000071195.4,Gm10318,protein_coding,Gm*
ENSMUSG00000100722.1,Gm29569,lncRNA,Gm*
ENSMUSG00000111915.1,Gm3285,protein_coding,Gm*
ENSMUSG00000079522.2,Gm14744,protein_coding,Gm*
ENSMUSG00000087353.1,Gm13727,lncRNA,Gm*
ENSMUSG00000055045.5,Gm11190,lncRNA,Gm*
ENSMUSG00000102052.1,Gm28387,lncRNA,Gm*
ENSMUSG00000096898.2,Gm20867,protein_coding,Gm*
ENSMUSG00000097057.1,Gm17638,lncRNA,Gm*
ENSMUSG00000111610.1,Gm34829,lncRNA,Gm*
ENSMUSG00000111335.1,Gm39375,lncRNA,Gm*
ENSMUSG00000115517.1,Gm48954,lncRNA,Gm*
ENSMUSG00000110382.1,Gm29895,lncRNA,Gm*
ENSMUSG00000100366.1,Gm29568,lncRNA,Gm*
ENSMUSG00000092272.1,Gm19301,lncRNA,Gm*
ENSMUSG00000112662.1,Gm47922,lncRNA,Gm*
ENSMUSG00000114401.1,Gm38604,lncRNA,Gm*
ENSMUSG00000079521.2,Gm5938,protein_coding,Gm*
ENSMUSG00000102111.1,Gm29566,lncRNA,Gm*
ENSMUSG00000101060.1,Gm29565,lncRNA,Gm*
ENSMUSG00000116697.1,Gm49694,lncRNA,Gm*
ENSMUSG00000099418.3,Gm6657,protein_coding,Gm*
ENSMUSG00000117648.1,Gm32282,lncRNA,Gm*
ENSMUSG00000099792.1,Gm29564,protein_coding,Gm*
ENSMUSG00000112302.1,Gm48226,lncRNA,Gm*
ENSMUSG00000054510.5,Gm14461,lncRNA,Gm*
ENSMUSG00000079519.2,Gm14743,protein_coding,Gm*
ENSMUSG00000112433.1,Gm30122,lncRNA,Gm*
ENSMUSG00000111709.1,Gm3776,protein_coding,Gm*
ENSMUSG00000086586.1,Gm11192,lncRNA,Gm*
ENSMUSG00000074179.11,Gm10639,protein_coding,Gm*
ENSMUSG00000087295.1,Gm3948,lncRNA,Gm*
ENSMUSG00000099479.1,Gm29146,lncRNA,Gm*
ENSMUSG00000099561.1,Gm28410,lncRNA,Gm*
ENSMUSG00000090451.1,Gm6133,protein_coding,Gm*
ENSMUSG00000112641.1,Gm40709,lncRNA,Gm*
ENSMUSG00000101115.1,Gm28664,lncRNA,Gm*
ENSMUSG00000100849.1,Gm28663,lncRNA,Gm*
ENSMUSG00000114632.1,Gm48399,lncRNA,Gm*
ENSMUSG00000116445.2,Gm49481,lncRNA,Gm*
ENSMUSG00000117525.1,Gm50034,lncRNA,Gm*
ENSMUSG00000115854.1,Gm36644,lncRNA,Gm*
ENSMUSG00000114639.1,Gm31946,lncRNA,Gm*
ENSMUSG00000086380.1,Gm11195,lncRNA,Gm*
ENSMUSG00000090317.1,Gm17324,lncRNA,Gm*
ENSMUSG00000114522.1,Gm32067,lncRNA,Gm*
ENSMUSG00000112224.1,Gm47944,lncRNA,Gm*
ENSMUSG00000111417.1,Gm47430,lncRNA,Gm*
ENSMUSG00000116307.1,Gm49490,lncRNA,Gm*
ENSMUSG00000108390.1,Gm39038,lncRNA,Gm*
ENSMUSG00000116097.1,Gm36738,lncRNA,Gm*
ENSMUSG00000052629.5,Gm9885,lncRNA,Gm*
ENSMUSG00000100562.1,Gm29611,lncRNA,Gm*
ENSMUSG00000112674.1,Gm47459,lncRNA,Gm*
ENSMUSG00000101321.1,Gm28817,lncRNA,Gm*
ENSMUSG00000114594.1,Gm48402,lncRNA,Gm*
ENSMUSG00000100328.6,Gm28816,lncRNA,Gm*
ENSMUSG00000085840.1,Gm11261,lncRNA,Gm*
ENSMUSG00000109776.1,Gm30400,lncRNA,Gm*
ENSMUSG00000099706.1,Gm29536,lncRNA,Gm*
ENSMUSG00000101324.1,Gm29187,lncRNA,Gm*
ENSMUSG00000094739.2,Gm20806,protein_coding,Gm*
ENSMUSG00000108385.1,Gm44730,lncRNA,Gm*
ENSMUSG00000097085.2,Gm26634,lncRNA,Gm*
ENSMUSG00000116069.1,Gm49510,protein_coding,Gm*
ENSMUSG00000101720.1,Gm29005,lncRNA,Gm*
ENSMUSG00000101804.1,Gm28813,lncRNA,Gm*
ENSMUSG00000115090.1,Gm49016,lncRNA,Gm*
ENSMUSG00000110094.1,Gm45326,lncRNA,Gm*
ENSMUSG00000109583.1,Gm39204,lncRNA,Gm*
ENSMUSG00000112732.1,Gm47343,lncRNA,Gm*
ENSMUSG00000116505.1,Gm10865,lncRNA,Gm*
ENSMUSG00000115867.1,Gm17753,lncRNA,Gm*
ENSMUSG00000097441.1,Gm26633,lncRNA,Gm*
